Id,Name,Type,DataType
ga:shoppingStage,Shopping Stage,dimension,string
ga:subContinentCode,Sub Continent Code,dimension,string
ga:buyToDetailRate,Buy-to-Detail Rate,metric,percent
ga:calcMetric_,Calculated Metric,metric,integer
ga:cartToDetailRate,Cart-to-Detail Rate,metric,percent
ga:cohortActiveUsers,Active Users (Cohort),metric,integer
ga:cohortAppviewsPerUser,Appviews per User (Cohort),metric,float
ga:cohortAppviewsPerUserWithLifetimeCriteria,Appviews Per User (LTV),metric,float
ga:cohortGoalCompletionsPerUser,Goal Completions per User (Cohort),metric,float
ga:cohortGoalCompletionsPerUserWithLifetimeCriteria,Goal Completions Per User (LTV),metric,float
ga:cohortPageviewsPerUser,Pageviews per User (Cohort),metric,float
ga:cohortPageviewsPerUserWithLifetimeCriteria,Pageviews Per User (LTV),metric,float
ga:cohortRetentionRate,User Retention (Cohort),metric,percent
ga:cohortRevenuePerUser,Revenue per User (Cohort),metric,currency
ga:cohortRevenuePerUserWithLifetimeCriteria,Revenue Per User (LTV),metric,currency
ga:cohortSessionDurationPerUser,Session Duration per User (Cohort),metric,time
ga:cohortSessionDurationPerUserWithLifetimeCriteria,Session Duration Per User (LTV),metric,time
ga:cohortSessionsPerUser,Sessions per User (Cohort),metric,float
ga:cohortSessionsPerUserWithLifetimeCriteria,Sessions Per User (LTV),metric,float
ga:cohortTotalUsers,Total Users (Cohort),metric,integer
ga:cohortTotalUsersWithLifetimeCriteria,Cohort Total Users,metric,integer
ga:dbmCPA,DV360 eCPA,metric,currency
ga:dbmCPC,DV360 eCPC,metric,currency
ga:dbmCPM,DV360 eCPM,metric,currency
ga:dbmCTR,DV360 CTR,metric,percent
ga:dbmClicks,DV360 Clicks,metric,integer
ga:dbmConversions,DV360 Conversions,metric,integer
ga:dbmCost,DV360 Cost,metric,currency
ga:dbmImpressions,DV360 Impressions,metric,integer
ga:dbmROAS,DV360 ROAS,metric,percent
ga:dcmCPC,CM CPC,metric,currency
ga:dcmCTR,CM CTR,metric,percent
ga:dcmClicks,CM Clicks,metric,integer
ga:dcmCost,CM Cost,metric,currency
ga:dcmImpressions,CM Impressions,metric,integer
ga:dcmROAS,CM ROAS,metric,percent
ga:dcmRPC,CM RPC,metric,currency
ga:dsCPC,SA360 CPC,metric,currency
ga:dsCTR,SA360 CTR,metric,percent
ga:dsClicks,SA360 Clicks,metric,integer
ga:dsCost,SA360 Cost,metric,currency
ga:dsImpressions,SA360 Impressions,metric,integer
ga:dsProfit,SA360 Profit,metric,currency
ga:dsReturnOnAdSpend,SA360 ROAS,metric,percent
ga:dsRevenuePerClick,SA360 RPC,metric,currency
ga:hits,Hits,metric,integer
ga:internalPromotionCTR,Internal Promotion CTR,metric,percent
ga:internalPromotionClicks,Internal Promotion Clicks,metric,integer
ga:internalPromotionViews,Internal Promotion Views,metric,integer
ga:localProductRefundAmount,Local Product Refund Amount,metric,currency
ga:localRefundAmount,Local Refund Amount,metric,currency
ga:productAddsToCart,Product Adds To Cart,metric,integer
ga:productCheckouts,Product Checkouts,metric,integer
ga:productDetailViews,Product Detail Views,metric,integer
ga:productListCTR,Product List CTR,metric,percent
ga:productListClicks,Product List Clicks,metric,integer
ga:productListViews,Product List Views,metric,integer
ga:productRefundAmount,Product Refund Amount,metric,currency
ga:productRefunds,Product Refunds,metric,integer
ga:productRemovesFromCart,Product Removes From Cart,metric,integer
ga:productRevenuePerPurchase,Product Revenue per Purchase,metric,currency
ga:quantityAddedToCart,Quantity Added To Cart,metric,integer
ga:quantityCheckedOut,Quantity Checked Out,metric,integer
ga:quantityRefunded,Quantity Refunded,metric,integer
ga:quantityRemovedFromCart,Quantity Removed From Cart,metric,integer
ga:refundAmount,Refund Amount,metric,currency
ga:revenuePerUser,Revenue per User,metric,currency
