Id,Name,Type,DataType
ga:mobileDeviceInfo,Mobile Device Info,dimension,string
ga:mobileDeviceMarketingName,Mobile Device Marketing Name,dimension,string
ga:deviceCategory,Device Category,dimension,string
ga:continent,Continent,dimension,string
ga:subContinent,Sub Continent,dimension,string
ga:country,Country,dimension,string
ga:region,Region,dimension,string
ga:metro,Metro,dimension,string
ga:city,City,dimension,string
ga:latitude,Latitude,dimension,string
ga:longitude,Longitude,dimension,string
ga:networkDomain,Network Domain,dimension,string
ga:networkLocation,Service Provider,dimension,string
ga:flashVersion,Flash Version,dimension,string
ga:javaEnabled,Java Support,dimension,string
ga:language,Language,dimension,string
ga:screenColors,Screen Colors,dimension,string
ga:sourcePropertyDisplayName,Source Property Display Name,dimension,string
ga:sourcePropertyTrackingId,Source Property Tracking ID,dimension,string
ga:screenResolution,Screen Resolution,dimension,string
ga:hostname,Hostname,dimension,string
ga:pagePath,Page,dimension,string
ga:pagePathLevel1,Page path level 1,dimension,string
ga:pagePathLevel2,Page path level 2,dimension,string
ga:pagePathLevel3,Page path level 3,dimension,string
ga:pagePathLevel4,Page path level 4,dimension,string
ga:pageTitle,Page Title,dimension,string
ga:landingPagePath,Landing Page,dimension,string
ga:secondPagePath,Second Page,dimension,string
ga:exitPagePath,Exit Page,dimension,string
ga:previousPagePath,Previous Page Path,dimension,string
ga:pageDepth,Page Depth,dimension,string
ga:pageValue,Page Value,metric,currency
ga:entrances,Entrances,metric,integer
ga:entranceRate,Entrances / Pageviews,metric,percent
ga:pageviews,Pageviews,metric,integer
ga:pageviewsPerSession,Pages / Session,metric,float
ga:uniquePageviews,Unique Pageviews,metric,integer
ga:timeOnPage,Time on Page,metric,time
ga:avgTimeOnPage,Avg. Time on Page,metric,time
ga:exits,Exits,metric,integer
ga:exitRate,% Exit,metric,percent
ga:searchUsed,Site Search Status,dimension,string
ga:searchKeyword,Search Term,dimension,string
ga:searchKeywordRefinement,Refined Keyword,dimension,string
ga:searchCategory,Site Search Category,dimension,string
ga:searchStartPage,Start Page,dimension,string
ga:searchDestinationPage,Destination Page,dimension,string
ga:searchAfterDestinationPage,Search Destination Page,dimension,string
ga:searchResultViews,Results Pageviews,metric,integer
ga:searchUniques,Total Unique Searches,metric,integer
ga:avgSearchResultViews,Results Pageviews / Search,metric,float
ga:searchSessions,Sessions with Search,metric,integer
ga:percentSessionsWithSearch,% Sessions with Search,metric,percent
ga:searchDepth,Search Depth,metric,integer
ga:avgSearchDepth,Avg. Search Depth,metric,float
ga:searchRefinements,Search Refinements,metric,integer
ga:percentSearchRefinements,% Search Refinements,metric,percent
ga:searchDuration,Time after Search,metric,time
ga:avgSearchDuration,Time after Search,metric,time
ga:searchExits,Search Exits,metric,integer
ga:searchExitRate,% Search Exits,metric,percent
ga:searchGoalConversionRateAll,Site Search Goal Conversion Rate,metric,percent
ga:goalValueAllPerSearch,Per Search Goal Value,metric,currency
ga:pageLoadTime,Page Load Time (ms),metric,integer
ga:pageLoadSample,Page Load Sample,metric,integer
ga:avgPageLoadTime,Avg. Page Load Time (sec),metric,float
ga:domainLookupTime,Domain Lookup Time (ms),metric,integer
ga:avgDomainLookupTime,Avg. Domain Lookup Time (sec),metric,float
ga:pageDownloadTime,Page Download Time (ms),metric,integer
ga:avgPageDownloadTime,Avg. Page Download Time (sec),metric,float
ga:redirectionTime,Redirection Time (ms),metric,integer
ga:avgRedirectionTime,Avg. Redirection Time (sec),metric,float
ga:serverConnectionTime,Server Connection Time (ms),metric,integer
ga:avgServerConnectionTime,Avg. Server Connection Time (sec),metric,float
ga:serverResponseTime,Server Response Time (ms),metric,integer
ga:avgServerResponseTime,Avg. Server Response Time (sec),metric,float
ga:speedMetricsSample,Speed Metrics Sample,metric,integer
ga:domInteractiveTime,Document Interactive Time (ms),metric,integer
ga:avgDomInteractiveTime,Avg. Document Interactive Time (sec),metric,float
ga:domContentLoadedTime,Document Content Loaded Time (ms),metric,integer
ga:avgDomContentLoadedTime,Avg. Document Content Loaded Time (sec),metric,float
ga:domLatencyMetricsSample,DOM Latency Metrics Sample,metric,integer
ga:appInstallerId,App Installer ID,dimension,string
ga:appVersion,App Version,dimension,string
ga:appName,App Name,dimension,string
ga:appId,App ID,dimension,string
ga:screenName,Screen Name,dimension,string
ga:screenDepth,Screen Depth,dimension,string
ga:landingScreenName,Landing Screen,dimension,string
ga:exitScreenName,Exit Screen,dimension,string
ga:screenviews,Screen Views,metric,integer
ga:uniqueScreenviews,Unique Screen Views,metric,integer
ga:screenviewsPerSession,Screens / Session,metric,float
ga:timeOnScreen,Time on Screen,metric,time
ga:avgScreenviewDuration,Avg. Time on Screen,metric,time
ga:eventCategory,Event Category,dimension,string
ga:eventAction,Event Action,dimension,string
ga:eventLabel,Event Label,dimension,string
ga:totalEvents,Total Events,metric,integer
ga:uniqueDimensionCombinations,Unique Dimension Combinations,metric,integer
ga:uniqueEvents,Unique Events,metric,integer
ga:eventValue,Event Value,metric,integer
ga:avgEventValue,Avg. Value,metric,float
ga:sessionsWithEvent,Sessions with Event,metric,integer
ga:eventsPerSessionWithEvent,Events / Session with Event,metric,float
ga:transactionId,Transaction ID,dimension,string
ga:affiliation,Affiliation,dimension,string
ga:sessionsToTransaction,Sessions to Transaction,dimension,string
ga:daysToTransaction,Days to Transaction,dimension,string
ga:productSku,Product SKU,dimension,string
ga:productName,Product,dimension,string
ga:productCategory,Product Category,dimension,string
ga:currencyCode,Currency Code,dimension,string
ga:transactions,Transactions,metric,integer
ga:transactionsPerSession,Ecommerce Conversion Rate,metric,percent
ga:transactionRevenue,Revenue,metric,currency
ga:revenuePerTransaction,Avg. Order Value,metric,currency
ga:transactionRevenuePerSession,Per Session Value,metric,currency
ga:transactionShipping,Shipping,metric,currency
ga:transactionTax,Tax,metric,currency
ga:totalValue,Total Value,metric,currency
ga:itemQuantity,Quantity,metric,integer
ga:uniquePurchases,Unique Purchases,metric,integer
ga:revenuePerItem,Avg. Price,metric,currency
ga:itemRevenue,Product Revenue,metric,currency
ga:itemsPerPurchase,Avg. QTY,metric,float
ga:localTransactionRevenue,Local Revenue,metric,currency
ga:localTransactionShipping,Local Shipping,metric,currency
ga:localTransactionTax,Local Tax,metric,currency
ga:localItemRevenue,Local Product Revenue,metric,currency
ga:socialInteractionNetwork,Social Network,dimension,string
ga:socialInteractionAction,Social Action,dimension,string
ga:socialInteractionNetworkAction,Social Network and Action (Hit),dimension,string
ga:socialInteractionTarget,Social Entity,dimension,string
ga:socialEngagementType,Social Type,dimension,string
ga:socialInteractions,Social Actions,metric,integer
ga:uniqueSocialInteractions,Unique Social Actions,metric,integer
ga:socialInteractionsPerSession,Actions Per Social Session,metric,float
ga:userTimingCategory,Timing Category,dimension,string
ga:userTimingLabel,Timing Label,dimension,string
ga:userTimingVariable,Timing Variable,dimension,string
ga:userTimingValue,User Timing (ms),metric,integer
ga:userTimingSample,User Timing Sample,metric,integer
ga:avgUserTimingValue,Avg. User Timing (sec),metric,float
ga:exceptionDescription,Exception Description,dimension,string
ga:exceptions,Exceptions,metric,integer
ga:exceptionsPerScreenview,Exceptions / Screen,metric,percent
ga:fatalExceptions,Crashes,metric,integer
ga:fatalExceptionsPerScreenview,Crashes / Screen,metric,percent
ga:experimentId,Experiment ID,dimension,string
ga:experimentVariant,Variant,dimension,string
ga:date,Date,dimension,string
ga:year,Year,dimension,string
ga:month,Month of the year,dimension,string
ga:week,Week of the Year,dimension,string
ga:day,Day of the month,dimension,string
ga:hour,Hour,dimension,string
ga:minute,Minute,dimension,string
ga:nthMonth,Month Index,dimension,string
ga:nthWeek,Week Index,dimension,string
ga:nthDay,Day Index,dimension,string
ga:nthMinute,Minute Index,dimension,string
ga:dayOfWeek,Day of Week,dimension,string
ga:dayOfWeekName,Day of Week Name,dimension,string
ga:dateHour,Hour of Day,dimension,string
ga:dateHourMinute,Date Hour and Minute,dimension,string
ga:yearMonth,Month of Year,dimension,string
ga:yearWeek,Week of Year,dimension,string
ga:isoWeek,ISO Week of the Year,dimension,string
ga:isoYear,ISO Year,dimension,string
ga:isoYearIsoWeek,ISO Week of ISO Year,dimension,string
ga:dcmClickAd,CM Ad (GA Model),dimension,string
ga:dcmClickAdId,CM Ad ID (GA Model),dimension,string
ga:dcmClickAdType,CM Ad Type (GA Model),dimension,string
ga:dcmClickAdTypeId,CM Ad Type ID,dimension,string
ga:dcmClickAdvertiser,CM Advertiser (GA Model),dimension,string
ga:dcmClickAdvertiserId,CM Advertiser ID (GA Model),dimension,string
ga:dcmClickCampaign,CM Campaign (GA Model),dimension,string
ga:dcmClickCampaignId,CM Campaign ID (GA Model),dimension,string
ga:dcmClickCreativeId,CM Creative ID (GA Model),dimension,string
ga:dcmClickCreative,CM Creative (GA Model),dimension,string
ga:dcmClickRenderingId,CM Rendering ID (GA Model),dimension,string
ga:dcmClickCreativeType,CM Creative Type (GA Model),dimension,string
ga:dcmClickCreativeTypeId,CM Creative Type ID (GA Model),dimension,string
ga:dcmClickCreativeVersion,CM Creative Version (GA Model),dimension,string
ga:dcmClickSite,CM Site (GA Model),dimension,string
ga:dcmClickSiteId,CM Site ID (GA Model),dimension,string
ga:dcmClickSitePlacement,CM Placement (GA Model),dimension,string
ga:dcmClickSitePlacementId,CM Placement ID (GA Model),dimension,string
ga:dcmClickSpotId,CM Floodlight Configuration ID (GA Model),dimension,string
ga:dcmFloodlightActivity,CM Activity,dimension,string
ga:dcmFloodlightActivityAndGroup,CM Activity and Group,dimension,string
ga:dcmFloodlightActivityGroup,CM Activity Group,dimension,string
ga:dcmFloodlightActivityGroupId,CM Activity Group ID,dimension,string
ga:dcmFloodlightActivityId,CM Activity ID,dimension,string
ga:dcmFloodlightAdvertiserId,CM Advertiser ID,dimension,string
ga:dcmFloodlightSpotId,CM Floodlight Configuration ID,dimension,string
ga:dcmLastEventAd,CM Ad,dimension,string
ga:dcmLastEventAdId,CM Ad ID (CM Model),dimension,string
ga:dcmLastEventAdType,CM Ad Type (CM Model),dimension,string
ga:dcmLastEventAdTypeId,CM Ad Type ID (CM Model),dimension,string
