ad_group_criterion_customizer.customizer_attribute,RESOURCE_NAME
ad_group_criterion_customizer.resource_name,RESOURCE_NAME
ad_group_criterion_customizer.status,ENUM
ad_group_criterion_customizer.value.string_value,STRING
ad_group_criterion_customizer.value.type,ENUM
ad_group_criterion_label.ad_group_criterion,RESOURCE_NAME
ad_group_criterion_label.label,RESOURCE_NAME
ad_group_criterion_label.resource_name,RESOURCE_NAME
ad_group_criterion_simulation.ad_group_id,INT64
ad_group_criterion_simulation.cpc_bid_point_list.points,MESSAGE
ad_group_criterion_simulation.criterion_id,INT64
ad_group_criterion_simulation.end_date,DATE
ad_group_criterion_simulation.modification_method,ENUM
ad_group_criterion_simulation.percent_cpc_bid_point_list.points,MESSAGE
ad_group_criterion_simulation.resource_name,RESOURCE_NAME
ad_group_criterion_simulation.start_date,DATE
ad_group_criterion_simulation.type,ENUM
ad_group_customizer.ad_group,RESOURCE_NAME
ad_group_customizer.customizer_attribute,RESOURCE_NAME
ad_group_customizer.resource_name,RESOURCE_NAME
ad_group_customizer.status,ENUM
ad_group_customizer.value.string_value,STRING
ad_group_customizer.value.type,ENUM
ad_group_extension_setting.ad_group,RESOURCE_NAME
ad_group_extension_setting.device,ENUM
ad_group_extension_setting.extension_feed_items,RESOURCE_NAME
ad_group_extension_setting.extension_type,ENUM
ad_group_extension_setting.resource_name,RESOURCE_NAME
ad_group_feed.ad_group,RESOURCE_NAME
ad_group_feed.feed,RESOURCE_NAME
ad_group_feed.matching_function.function_string,STRING
ad_group_feed.matching_function.left_operands,MESSAGE
ad_group_feed.matching_function.operator,ENUM
ad_group_feed.matching_function.right_operands,MESSAGE
ad_group_feed.placeholder_types,ENUM
ad_group_feed.resource_name,RESOURCE_NAME
ad_group_feed.status,ENUM
ad_group_label.ad_group,RESOURCE_NAME
ad_group_label.label,RESOURCE_NAME
ad_group_label.resource_name,RESOURCE_NAME
ad_group_simulation.ad_group_id,INT64
ad_group_simulation.cpc_bid_point_list.points,MESSAGE
ad_group_simulation.cpv_bid_point_list.points,MESSAGE
ad_group_simulation.end_date,DATE
ad_group_simulation.modification_method,ENUM
ad_group_simulation.resource_name,RESOURCE_NAME
ad_group_simulation.start_date,DATE
ad_group_simulation.target_cpa_point_list.points,MESSAGE
ad_group_simulation.target_roas_point_list.points,MESSAGE
ad_group_simulation.type,ENUM
ad_parameter.ad_group_criterion,RESOURCE_NAME
ad_parameter.insertion_text,STRING
ad_parameter.parameter_index,INT64
ad_parameter.resource_name,RESOURCE_NAME
ad_schedule_view.resource_name,RESOURCE_NAME
age_range_view.resource_name,RESOURCE_NAME
asset.book_on_google_asset,MESSAGE
asset.call_asset.ad_schedule_targets,MESSAGE
asset.call_asset.call_conversion_action,RESOURCE_NAME
asset.call_asset.call_conversion_reporting_state,ENUM
asset.call_asset.country_code,STRING
asset.call_asset.phone_number,STRING
asset.call_to_action_asset.call_to_action,ENUM
asset.callout_asset.ad_schedule_targets,MESSAGE
asset.callout_asset.callout_text,STRING
asset.callout_asset.end_date,DATE
asset.callout_asset.start_date,DATE
asset.discovery_carousel_card_asset.call_to_action_text,STRING
asset.discovery_carousel_card_asset.headline,STRING
asset.discovery_carousel_card_asset.marketing_image_asset,RESOURCE_NAME
asset.discovery_carousel_card_asset.portrait_marketing_image_asset,RESOURCE_NAME
asset.discovery_carousel_card_asset.square_marketing_image_asset,RESOURCE_NAME
asset.dynamic_custom_asset.android_app_link,STRING
asset.dynamic_custom_asset.contextual_keywords,STRING
asset.dynamic_custom_asset.formatted_price,STRING
asset.dynamic_custom_asset.formatted_sale_price,STRING
asset.dynamic_custom_asset.id,STRING
asset.dynamic_custom_asset.id2,STRING
asset.dynamic_custom_asset.image_url,STRING
asset.dynamic_custom_asset.ios_app_link,STRING
asset.dynamic_custom_asset.ios_app_store_id,INT64
asset.dynamic_custom_asset.item_address,STRING
asset.dynamic_custom_asset.item_category,STRING
asset.dynamic_custom_asset.item_description,STRING
asset.dynamic_custom_asset.item_subtitle,STRING
asset.dynamic_custom_asset.item_title,STRING
asset.dynamic_custom_asset.price,STRING
asset.dynamic_custom_asset.sale_price,STRING
asset.dynamic_custom_asset.similar_ids,STRING
asset.dynamic_education_asset.address,STRING
asset.dynamic_education_asset.android_app_link,STRING
asset.dynamic_education_asset.contextual_keywords,STRING
asset.dynamic_education_asset.image_url,STRING
asset.dynamic_education_asset.ios_app_link,STRING
asset.dynamic_education_asset.ios_app_store_id,INT64
asset.dynamic_education_asset.location_id,STRING
asset.dynamic_education_asset.program_description,STRING
asset.dynamic_education_asset.program_id,STRING
